Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0,1349,,,,-52.38301058522349,11.110652943552976,0.7604717276129362,7722,0,8.339186052601134,6.282051499870652,,
5640.269161462001,1000,,,,,12.589838134381251,0,0,0,0.07645805403379076,,,
5640.292216462,1000,,,,,12.589752101596734,0,0,0,0.0691097270498112,,,
5640.315771462,1000,,,,,12.589808119850735,0,0,0,0.07623525264417311,,,
5640.340351462001,1000,,,,,12.58971345069228,0,0,0,0.08392761288450151,,,
5640.362566462001,1000,,,,-0.16614104313285405,12.589603893468798,0,0,0,0.09697884320219832,,,
5640.386211462001,1000,,,,,12.589699346046444,0,0,0,0.10424075370942744,,,
5640.409051462,1000,,,,,12.58992858270434,0,0,0,0.09782031392542298,,,
5640.437506462002,1000,,,,,12.589836825666955,0,0,0,0.10280573478219208,,,
5640.459701462,1000,,,,,12.58967163768082,0,0,0,0.10666934597276502,,,
5640.483586462002,1000,,,,,12.58940091043994,0,0,0,0.11249761534555484,,,
5640.508301462,1000,,,,-0.5695732152821732,12.589505684654938,0,0,0,0.12470555394801579,,,
5640.536746462,1000,,,,,12.589504493620932,0,0,0,0.12020971476528358,,,
5640.559176462,1000,,,,,12.589602965402442,0,0,0,0.11937933542594217,,,
5640.585371462001,1000,,,,,12.589459996966339,0,0,0,0.11441007294951931,,,
5640.611706462,1000,,,,,12.589038575071742,0,0,0,0.11202497728837434,,,
5640.638956462,1000,,,,,12.588833095271504,0,0,0,0.12270652206814733,,,
5640.661856462001,1000,,,,-0.7470407926291524,12.588962697741284,0,0,0,0.11916382989528258,,,
5640.688016462001,1000,,,,,12.589251783690171,0,0,0,0.1296954059430004,,,
5640.711741462001,1000,,,,,12.589522558396325,0,0,0,0.12856181512498513,,,
5640.737376462001,1000,,,,,12.589899127265138,0,0,0,0.12119869203988608,,,
5640.759281462001,1000,,,,,12.589928939703594,0,0,0,0.12567131377928306,,,
5640.787641462001,1000,,,,,12.589536108679988,0,0,0,0.12173166505560176,,,
5640.808951462001,1000,,,,0.3094571174927061,12.589666233840195,0,0,0,0.1316761694832001,,,
5640.833081462,1000,,,,,12.589561785301429,0,0,0,0.1272444514487381,,,
5640.8607964620005,1000,,,,,12.58997877808895,0,0,0,0.12101444596955488,,,
5640.888201462,1000,,,,,12.589861308118836,0,0,0,0.11463868711702586,,,
5640.911966462,1000,,,,,12.589991513516303,0,0,0,0.1115585330044161,,,
5640.937956462,1000,,,,,12.590091825540096,0,0,0,0.10787618640516679,,,
5640.959581462001,1000,,,,0.7598007308995056,12.589856436274374,0,0,0,0.09364136648525448,,,
5640.9897564620005,1000,,,,,12.589831803154286,0,0,0,0.09672881135123437,,,
5641.012351462001,1000,,,,,12.589913115066345,0,0,0,0.09156435786370018,,,
5641.036621462001,1000,,,,,12.590205393924535,0,0,0,0.08655589644166153,,,
5641.060396462001,1000,,,,,12.590296847784549,0,0,0,0.07963310651794774,,,
5641.092801462,1000,,,,,12.589863284384156,0,0,0,0.08084569249637838,,,
5641.119141462001,1000,,,,0.9524497121420966,12.589905589191668,0,0,0,0.07758820937608149,,,
5641.146291462001,1000,,,,,12.590119458618936,0,0,0,0.08923084506562856,,,
5641.169271462001,1000,,,,,12.590268757192057,0,0,0,0.08649958299115183,,,
5641.1916214620005,1000,,,,,12.59004993881316,0,0,0,0.09213291050816338,,,
5641.213081462,1000,,,,,12.589866221114546,0,0,0,0.08803272198287428,,,
5641.239416462002,1000,,,,,12.59014150555753,0,0,0,0.09287664978656972,,,
5641.268441462001,1000,,,,-0.31555589484533825,12.590079275347621,0,0,0,0.08590505494919919,,,
5641.289466462002,1000,,,,,12.589969400595065,0,0,0,0.08315349939170813,,,
5641.311836462,1000,,,,,12.590311882527928,0,0,0,0.08535464790339865,,,
5641.337096462001,1000,,,,,12.590022834656798,0,0,0,0.09190668941117834,,,
5641.359671462002,1000,,,,,12.590019510716228,0,0,0,0.1080850119969594,,,
